time,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,nu_0,nu_1,nu_2,nu_3,nu_4,nu_5,nu_diff_0,nu_diff_1,nu_diff_2,nu_diff_3,nu_diff_4,nu_diff_5,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5
85.37116885185242,9.043151659,2.903532512,-7.804790867,-0.093392499,-0.036045077,-2.069693832,-0.110951919,-0.224275367,-0.12199489,-0.016895246,-0.003507482,0.090070629,-0.021396701,0.035749177,-0.027888439,-0.056454189,0.034061343,-0.0405071,0.080267535,-3.351241194,-12.141009238,4.96432527,-1.370988406,0.546713082
85.47173380851746,9.028957631,2.923754413,-7.815250635,-0.095351106,-0.035200311,-2.061635093,-0.112386783,-0.218858309,-0.124655225,-0.016407613,-0.000121749,0.078862443,-0.01646306,0.048644156,-0.026988878,-0.013522825,0.033918536,-0.090609434,0.109042721,-2.181907762,-11.871012032,4.904344244,-1.351318304,0.245736128
85.57141399383545,9.014837508,2.943682177,-7.825863205,-0.096758291,-0.034454669,-2.05492128,-0.113096367,-0.213824039,-0.127210155,-0.011664701,0.0019964,0.065633019,-0.009906003,0.049833141,-0.025981176,0.029143537,0.025002604,-0.119788799,0.282852114,-1.572153092,-11.63140356,4.934551929,-1.402945478,-0.015772472
85.67214798927307,9.000593722,2.963382699,-7.836693646,-0.097466766,-0.033611591,-2.049614919,-0.113032265,-0.210049334,-0.129626431,-0.00423812,0.002365731,0.051850094,-0.002523091,0.041372878,-0.024708283,0.060729128,0.010086096,-0.13241711,0.060316673,-1.69741974,-11.463640593,5.042094445,-1.513632598,-0.204778028
85.77351999282837,8.986136328,2.982954974,-7.84780741,-0.097262288,-0.033047786,-2.045535692,-0.112509393,-0.20779754,-0.131787218,0.004071709,0.000921896,0.038515753,0.002903178,0.028174417,-0.022537997,0.076387538,-0.007081021,-0.133065526,0.042965439,-2.249921024,-11.339213223,5.188896704,-1.660557105,-0.345514849
85.87327480316162,8.971381867,3.002435863,-7.859245328,-0.096200274,-0.032976196,-2.042677474,-0.111572965,-0.207085221,-0.133598024,0.012262665,-0.00176795,0.026772752,0.007425947,0.013438561,-0.019437037,0.080252955,-0.020953223,-0.122120659,0.263732511,-2.973618591,-11.191775538,5.32897987,-1.815970076,-0.443263477
85.97346091270447,8.956301997,3.021873377,-7.871018568,-0.094225813,-0.033194054,-2.040711691,-0.110414712,-0.207725451,-0.134960972,0.019863923,-0.005343053,0.018091227,0.010335557,-0.000450045,-0.015371752,0.077284695,-0.031311686,-0.097406878,0.528077678,-3.594781314,-10.942389043,5.423597771,-1.958198066,-0.503690465
86.07468795776367,8.940878573,3.041318869,-7.883104947,-0.091641897,-0.033969785,-2.039284229,-0.109212058,-0.209536339,-0.135777685,0.026131097,-0.00943926,0.013887898,0.011519245,-0.01281123,-0.010328513,0.067055626,-0.038066958,-0.05864536,0.582748813,-4.1943557,-10.514251879,5.444053611,-2.072153364,-0.481570039
86.17528486251831,8.925206633,3.060887644,-7.895445103,-0.088697207,-0.035180492,-2.037630701,-0.10857207,-0.212057026,-0.135913817,0.029954288,-0.013478665,0.015371476,0.007935692,-0.021488172,-0.004051479,0.046879022,-0.03969592,-0.007208562,0.525042913,-4.580189684,-9.852377007,5.372028825,-2.143914742,-0.37180507
86.27608680725098,8.909368391,3.08059126,-7.907939258,-0.085610643,-0.036691789,-2.035386272,-0.108547899,-0.214775601,-0.135287285,0.03030205,-0.016798999,0.022951311,0.0025499,-0.025476479,0.003170284,0.01649804,-0.03515112,0.050896273,0.21267998,-4.592193265,-8.926960359,5.20232039,-2.168123176,-0.14879371
86.37688302993774,8.893428891,3.100385481,-7.920455608,-0.083021613,-0.038479914,-2.032006075,-0.108955409,-0.217278508,-0.133864829,0.026841717,-0.018865635,0.034702439,-0.002087596,-0.025163292,0.010908276,-0.019272919,-0.025011787,0.097526781,-0.016892718,-4.359637871,-7.741953018,4.943880838,-2.145167592,0.151185939
86.47733688354492,8.877432998,3.120240308,-7.93284036,-0.081244418,-0.039943586,-2.027223385,-0.109730399,-0.219334319,-0.131659938,0.020186135,-0.019368155,0.047897876,-0.00605121,-0.021939666,0.018706719,-0.052370947,-0.011021171,0.121626093,-0.12994109,-4.219955238,-6.345537383,4.61900246,-2.079315366,0.446504179
